Player,Nation,Position,Squad,Competition,Age,Matches Played,Starts,Minutes Played,Goals,Assists,Shots,Shots on Target,Pass Completion %,Dribbles Completed,Tackles Won,Interceptions,Yellow Cards,Red Cards,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won %,Goals per 90,Assists per 90,Shots per 90,Shots on Target per 90,Dribbles Completed per 90,Tackles Won per 90,Interceptions per 90,Aerial Duels Won per 90
Ibrahim Sulemana,gh GHA,MF,Cagliari,it Serie A,20-357,19,15,1237.0,2.0,0.0,12.0,3.0,80.6,6.0,13.0,7.0,3,0,11.0,15,42.3,0.14551333872271624,0.0,0.8730800323362976,0.2182700080840744,0.4365400161681488,0.9458367016976557,0.5092966855295068,0.8003233629749394
Tomáš Suslov,sk SVK,"MF,FW",Hellas Verona,it Serie A,21-341,30,21,1930.0,1.0,4.0,45.0,12.0,72.3,35.0,25.0,5.0,7,0,5.0,11,31.3,0.046632124352331605,0.18652849740932642,2.098445595854922,0.5595854922279793,1.632124352331606,1.16580310880829,0.23316062176165803,0.23316062176165803
Suso,es ESP,"MF,FW",Sevilla,es La Liga,30-176,28,15,1472.0,1.0,4.0,25.0,6.0,77.0,26.0,17.0,5.0,5,1,8.0,9,47.1,0.06114130434782609,0.24456521739130435,1.528532608695652,0.3668478260869565,1.589673913043478,1.0394021739130435,0.30570652173913043,0.4891304347826087
Mattias Svanberg,se SWE,MF,Wolfsburg,de Bundesliga,25-129,25,20,1715.0,1.0,3.0,42.0,11.0,71.1,15.0,17.0,21.0,8,0,20.0,11,64.5,0.052478134110787174,0.1574344023323615,2.204081632653061,0.577259475218659,0.7871720116618076,0.8921282798833818,1.1020408163265305,1.0495626822157433
Mile Svilar,rs SRB,GK,Roma,it Serie A,24-260,13,13,1170.0,0.0,0.0,0.0,0.0,88.3,1.0,0.0,0.0,1,0,4.0,0,100.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.3076923076923077
Williot Swedberg,se SWE,"FW,MF",Celta Vigo,es La Liga,20-102,13,2,299.0,4.0,0.0,10.0,5.0,70.9,6.0,4.0,0.0,1,0,5.0,3,62.5,1.2040133779264215,0.0,3.0100334448160533,1.5050167224080266,1.8060200668896322,1.2040133779264215,0.0,1.5050167224080266
Karol Świderski,pl POL,"FW,MF",Hellas Verona,it Serie A,27-111,14,3,494.0,2.0,0.0,15.0,6.0,70.4,3.0,3.0,1.0,0,0,9.0,24,27.3,0.3643724696356275,0.0,2.7327935222672064,1.0931174089068827,0.5465587044534413,0.5465587044534413,0.18218623481781376,1.6396761133603237
Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,21-140,21,18,1702.0,2.0,0.0,11.0,5.0,88.1,9.0,22.0,26.0,4,0,31.0,21,59.6,0.10575793184488837,0.0,0.581668625146886,0.26439482961222094,0.4759106933019977,1.163337250293772,1.3748531139835487,1.6392479435957699
Dembo Sylla,gn GUI,DF,Lorient,fr Ligue 1,21-185,1,0,45.0,0.0,0.0,1.0,0.0,86.4,0.0,1.0,1.0,0,0,0.0,0,0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0
Issiaga Sylla,gn GUI,"DF,FW",Montpellier,fr Ligue 1,30-133,18,17,1443.0,1.0,2.0,13.0,5.0,73.7,10.0,16.0,23.0,3,0,18.0,15,54.5,0.062370062370062374,0.12474012474012475,0.8108108108108109,0.31185031185031187,0.6237006237006237,0.997920997920998,1.4345114345114345,1.1226611226611227
Mamadou Sylla,sn SEN,"FW,MF",Alavés,es La Liga,30-054,2,0,18.0,0.0,0.0,0.0,0.0,42.9,0.0,0.0,0.0,0,0,3.0,3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Attila Szalai,hu HUN,DF,Hoffenheim,de Bundesliga,26-114,4,4,288.0,0.0,0.0,1.0,1.0,73.6,0.0,1.0,1.0,1,0,5.0,5,50.0,0.0,0.0,0.3125,0.3125,0.0,0.3125,0.3125,1.5625
Attila Szalai,hu HUN,DF,Freiburg,de Bundesliga,26-114,3,0,103.0,0.0,0.0,0.0,0.0,80.6,0.0,1.0,1.0,0,0,2.0,2,50.0,0.0,0.0,0.0,0.0,0.0,0.8737864077669902,0.8737864077669902,1.7475728155339805
