,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,League
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
Axel Tuanzebe,cd COD,DF,Ipswich Town,26-280,1997,1,1,73,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,Premier League
Destiny Udogie,it ITA,DF,Tottenham,21-266,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Virgil van Dijk,nl NED,DF,Liverpool,33-043,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Jamie Vardy,eng ENG,FW,Leicester City,37-222,1987,1,1,78,0.9,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,0,1,3,1.15,0.00,1.15,1.15,1.15,0.93,0.00,0.93,0.93,0.93,Matches,Premier League
Renato Veiga,pt POR,DF,Chelsea,21-022,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Joël Veltman,nl NED,DF,Brighton,32-218,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Micky van de Ven,nl NED,DF,Tottenham,23-123,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Jannik Vestergaard,dk DEN,DF,Leicester City,32-017,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Guglielmo Vicario,it ITA,GK,Tottenham,27-318,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Kyle Walker-Peters,eng ENG,DF,Southampton,27-129,1997,1,1,80,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,11,7,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,Premier League
Christian Walton,eng ENG,GK,Ipswich Town,28-285,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
James Ward-Prowse,eng ENG,MF,West Ham,29-293,1994,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Ollie Watkins,eng ENG,FW,Aston Villa,28-234,1995,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Adam Webster,eng ENG,DF,Brighton,29-229,1995,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Danny Welbeck,eng ENG,FW,Brighton,33-268,1990,1,1,90,1.0,1,1,2,1,0,0,0,0,0.2,0.2,0.1,0.3,2,4,0,1.00,1.00,2.00,1.00,2.00,0.20,0.09,0.29,0.20,0.29,Matches,Premier League
Timo Werner,de GER,MF,Tottenham,28-167,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Adam Wharton,eng ENG,MF,Crystal Palace,20-079,2004,1,1,73,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,4,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,Premier League
Ben White,eng ENG,DF,Arsenal,26-317,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,Premier League
Mats Wieffer,nl NED,MF,Brighton,24-278,1999,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,0,0.00,1.00,1.00,0.00,1.00,0.00,0.07,0.07,0.00,0.07,Matches,Premier League
Neco Williams,wls WAL,DF,Nott'ham Forest,23-129,2001,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,2,5,0.00,0.00,0.00,0.00,0.00,0.03,0.20,0.23,0.03,0.23,Matches,Premier League
Harry Wilson,wls WAL,FW,Fulham,27-151,1997,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Harry Winks,eng ENG,MF,Leicester City,28-200,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,Premier League
Yoane Wissa,cd COD,FW,Brentford,27-352,1996,1,1,83,0.9,1,1,2,1,0,0,1,0,1.0,1.0,0.1,1.1,1,2,2,1.08,1.08,2.17,1.08,2.17,1.08,0.10,1.18,1.08,1.18,Matches,Premier League
Chris Wood,nz NZL,FW,Nott'ham Forest,32-257,1991,1,1,71,0.8,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,1,1,2,1.27,0.00,1.27,1.27,1.27,0.90,0.00,0.90,0.90,0.90,Matches,Premier League
Luke Woolfenden,eng ENG,DF,Ipswich Town,25-304,1998,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Ryan Yates,eng ENG,MF,Nott'ham Forest,26-273,1997,1,0,76,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,5,7,0,0.00,0.00,0.00,0.00,0.00,0.29,0.02,0.31,0.29,0.31,Matches,Premier League
Ashley Young,eng ENG,DF,Everton,39-042,1985,1,1,65,0.7,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,0,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,Premier League
Illia Zabarnyi,ua UKR,DF,Bournemouth,21-354,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Oleksandr Zinchenko,ua UKR,DF,Arsenal,27-249,1996,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Joshua Zirkzee,nl NED,FW,Manchester Utd,23-090,2001,1,0,30,0.3,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,3.00,0.00,3.00,3.00,3.00,0.22,0.00,0.22,0.22,0.22,Matches,Premier League
Martin Ødegaard,no NOR,MF,Arsenal,25-247,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,8,1,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.12,0.02,0.12,Matches,Premier League
Abel,es ESP,DF,Osasuna,23-365,2000,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,Matches,La Liga
Nabil Aberdin,fr FRA,MF,Getafe,21-363,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,La Liga
Abdel Abqar,ma MAR,DF,Alavés,25-163,1999,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Lucien Agoume,fr FRA,MF,Sevilla,22-193,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Álvaro Aguado,es ESP,MF,Espanyol,28-111,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,0,0.00,0.00,0.00,0.00,0.00,0.37,0.13,0.51,0.37,0.51,Matches,La Liga
Ilias Akhomach,ma MAR,MF,Villarreal,20-126,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Raúl Albiol,es ESP,DF,Villarreal,38-351,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Omar Alderete,py PAR,DF,Getafe,27-238,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.6,0,1,0,0.00,0.00,0.00,0.00,0.00,0.04,0.51,0.55,0.04,0.55,Matches,La Liga
Carles Aleñá,es ESP,MF,Getafe,26-228,1998,1,0,51,0.6,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.91,0.91,0.91,Matches,La Liga
Domingos André Ribeiro Almeida,pt POR,FW,Valencia,24-082,2000,1,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,La Liga
Iker Almena,es ESP,"DF,FW",Girona,20-108,2004,1,0,25,0.3,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.7,3,1,3,0.00,3.60,3.60,0.00,3.60,0.11,2.33,2.44,0.11,2.44,Matches,La Liga
Sergi Altimira,es ESP,MF,Betis,22-361,2001,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.00,0.37,Matches,La Liga
Hugo Álvarez,es ESP,DF,Celta Vigo,21-049,2003,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,3,2,14,0.00,1.00,1.00,0.00,1.00,0.00,0.07,0.07,0.00,0.07,Matches,La Liga
Julián Álvarez,ar ARG,FW,Atlético Madrid,24-202,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Yeray Álvarez,es ESP,DF,Athletic Club,29-209,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Selim Amallah,ma MAR,MF,Valladolid,27-279,1996,1,1,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,5,2,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches,La Liga
Amath,sn SEN,FW,Valladolid,28-035,1996,1,1,69,0.8,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,3,0.00,1.30,1.30,0.00,1.30,0.04,0.11,0.16,0.04,0.16,Matches,La Liga
Antoniu,es ESP,MF,Espanyol,21-350,2002,1,0,21,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.08,0.27,0.35,0.08,0.35,Matches,La Liga
Aritz Arambarri,es ESP,DF,Leganés,26-202,1998,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,La Liga
Mauro Arambarri,uy URU,MF,Getafe,28-325,1995,1,1,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Jon Aramburu,ve VEN,DF,Real Sociedad,22-028,2002,1,0,16,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Jesús Areso,es ESP,DF,Osasuna,25-049,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches,La Liga
Takuma Asano,jp JPN,FW,Mallorca,29-284,1994,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,La Liga
Iago Aspas,es ESP,MF,Celta Vigo,37-019,1987,1,1,90,1.0,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,3,7,8,1.00,0.00,1.00,1.00,1.00,0.70,0.00,0.70,0.70,0.70,Matches,La Liga
Ezequiel Ávila,ar ARG,FW,Betis,30-196,1994,1,0,21,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.30,0.27,0.57,0.30,0.57,Matches,La Liga
César Azpilicueta,es ESP,DF,Atlético Madrid,34-358,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,12,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Alex Baena,es ESP,MF,Villarreal,23-031,2001,1,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,La Liga
Eric Bailly,ci CIV,DF,Villarreal,30-130,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Alejandro Balde,es ESP,DF,Barcelona,20-307,2003,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,5,5,9,0.00,0.00,0.00,0.00,0.00,0.02,0.55,0.57,0.02,0.57,Matches,La Liga
Iván Balliu,al ALB,DF,Rayo Vallecano,32-232,1992,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Jonathan Bamba,ci CIV,MF,Celta Vigo,28-147,1996,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Ander Barrenetxea,es ESP,MF,Real Sociedad,22-237,2001,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,Matches,La Liga
Pablo Barrios,es ESP,MF,Atlético Madrid,21-066,2003,1,1,90,1.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.2,1,7,3,0.00,1.00,1.00,0.00,1.00,0.05,0.15,0.19,0.05,0.19,Matches,La Liga
Marc Bartra,es ESP,DF,Betis,33-218,1991,1,1,90,1.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,1.00,0.00,1.00,1.00,1.00,0.17,0.00,0.17,0.17,0.17,Matches,La Liga
Aboubacar Bassinga,ci CIV,MF,Las Palmas,19-038,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Sheraldo Becker,sr SUR,FW,Real Sociedad,29-193,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,6,1,12,0.00,0.00,0.00,0.00,0.00,0.12,0.23,0.36,0.12,0.36,Matches,La Liga
Jude Bellingham,eng ENG,MF,Real Madrid,21-052,2003,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,5,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,La Liga
Fran Beltrán,es ESP,MF,Celta Vigo,25-199,1999,1,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,La Liga
Carlos Benavídez,uy URU,MF,Alavés,26-143,1998,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,2.72,2.72,0.00,2.72,Matches,La Liga
Yuri Berchiche,es ESP,DF,Athletic Club,34-192,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,La Liga
Álex Berenguer,es ESP,FW,Athletic Club,29-047,1995,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Marc Bernal,es ESP,MF,Barcelona,17-086,2007,1,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Antonio Blanco,es ESP,MF,Alavés,24-028,2000,1,1,90,1.0,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,0,6,0,0.00,1.00,1.00,0.00,1.00,0.06,0.34,0.39,0.06,0.39,Matches,La Liga
Daley Blind,nl NED,DF,Girona,34-164,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Enzo Boyomo,cm CMR,DF,Valladolid,22-318,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Darko Brašanac,rs SRB,MF,Leganés,32-190,1992,1,1,87,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,1,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches,La Liga
Ante Budimir,hr CRO,FW,Osasuna,33-029,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches,La Liga
Leandro Cabrera,uy URU,DF,Espanyol,33-064,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,La Liga
Sergio Camello,es ESP,FW,Rayo Vallecano,23-192,2001,1,0,28,0.3,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,0,3,3.21,0.00,3.21,3.21,3.21,0.74,0.00,0.74,0.74,0.74,Matches,La Liga
Cárdenas,es ESP,GK,Rayo Vallecano,27-145,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Irvin Cardona,fr FRA,"FW,MF",Espanyol,27-012,1997,1,0,34,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches,La Liga
Marc Cardona,es ESP,FW,Las Palmas,29-043,1995,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Sergi Cardona,es ESP,DF,Villarreal,25-043,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,6,8,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,La Liga
Johnny Cardoso,us USA,MF,Betis,22-335,2001,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,0.64,Matches,La Liga
Carmona,es ESP,DF,Sevilla,22-204,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,La Liga
Dani Carvajal,es ESP,DF,Real Madrid,32-222,1992,1,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
William Carvalho,pt POR,MF,Betis,32-135,1992,1,1,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,0,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches,La Liga
Marc Casado,es ESP,MF,Barcelona,20-341,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,1,10,4,0.00,0.00,0.00,0.00,0.00,0.60,0.11,0.71,0.60,0.71,Matches,La Liga
Catena,es ESP,DF,Osasuna,29-297,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches,La Liga
Pep Chavarría,es ESP,FW,Rayo Vallecano,26-132,1998,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Julián Chicco,ar ARG,MF,Leganés,26-220,1998,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Andreas Christensen,dk DEN,DF,Barcelona,28-132,1996,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Jasper Cillessen,nl NED,GK,Las Palmas,35-120,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Pathé Ciss,sn SEN,MF,Rayo Vallecano,30-157,1994,1,0,16,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,2,0,0.00,5.63,5.63,0.00,5.63,0.00,1.29,1.29,0.00,1.29,Matches,La Liga
Seydouba Cissé,gn GUI,MF,Leganés,23-192,2001,1,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,La Liga
Eray Cömert,ch SUI,"MF,DF",Valladolid,26-198,1998,1,1,81,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,0,0,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.28,0.28,Matches,La Liga
Santi Comesaña,es ESP,MF,Villarreal,27-320,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Diego Conde,es ESP,GK,Villarreal,25-297,1998,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,1.00,1.00,0.00,1.00,0.00,0.06,0.06,0.00,0.06,Matches,La Liga
Tomás Conechny,ar ARG,FW,Alavés,26-143,1998,1,1,67,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Copete,es ESP,MF,Mallorca,24-315,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Ángel Correa,ar ARG,FW,Atlético Madrid,29-164,1995,1,0,45,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,3,0.00,0.00,0.00,0.00,0.00,0.13,0.22,0.35,0.13,0.35,Matches,La Liga
Thierry Correia,pt POR,DF,Valencia,25-164,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Samu Costa,pt POR,MF,Mallorca,23-267,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.08,0.04,0.08,Matches,La Liga
Thibaut Courtois,be BEL,GK,Real Madrid,32-101,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Juan Cruz Armada,es ESP,DF,Osasuna,32-023,1992,1,0,31,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,La Liga
Juan Cruz,es ESP,FW,Leganés,24-117,2000,1,1,62,0.7,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,1,1,3,1.45,0.00,1.45,1.45,1.45,0.60,0.29,0.89,0.60,0.89,Matches,La Liga
